objectid,identifier,title,creator[0],date,description[0],description[1],description[2],publisher,ppi,licenseurl,links,essay_title,start_date,end_date
0,fbeyeswrightrichard8116,"Wright, Richard",Federal Bureau of Investigation,1942-1963,FBI documents studying Richard Wright.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031064",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyeswrightrichard8116, Richard Wright,1942,1963
1,fbeyeswhitewalter8117,"White, Walter",Federal Bureau of Investigation,1943-1957,FBI documents studying Walter White.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031065",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyeswhitewalter8117, Walter White,1943,1957
2,fbeyeswardtheodore8118,"Ward, Theodore",Federal Bureau of Investigation,1944-1966,FBI documents studying Theodore Ward.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031066",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyeswardtheodore8118, Theodore Ward,1944,1966
3,fbeyessmithwilliamgardner8119,"Smith, William Gardner",Federal Bureau of Investigation,1951-1974,FBI documents studying William Gardner Smith.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031067",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyessmithwilliamgardner8119, William Gardner Smith,1951,1974
4,fbeyesschuylergeorges.8120,"Schuyler, George S.",Federal Bureau of Investigation,1942-1967,FBI documents studying George S. Schuyler.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031068",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesschuylergeorges.8120, George S. Schuyler,1942,1967
5,fbeyesrogersja8121,"Rogers, J. A.",Federal Bureau of Investigation,1942-1967,FBI documents studying J. A. Rogers.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031069",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesrogersja8121, J. A. Rogers,1942,1967
6,fbeyesreddingjsaunders8122,"Redding, J. Saunders",Federal Bureau of Investigation,1953-1968,FBI documents studying J. Saunders Redding.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031070",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesreddingjsaunders8122, J. Saunders Redding,1953,1968
7,fbeyesrazafandy8123,"Razaf, Andy",Federal Bureau of Investigation,1949,FBI documents studying Andy Razaf.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031071",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesrazafandy8123, Andy Razaf,1949,1949
8,fbeyesrandalldudley8124,"Randall, Dudley",Federal Bureau of Investigation,1966-1969,FBI documents studying Dudley Randall.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031072",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesrandalldudley8124, Dudley Randall,1966,1969
9,fbeyespickenswilliam8125,"Pickens, William",Federal Bureau of Investigation,1947-1964,FBI documents studying William Pickens.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031073",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyespickenswilliam8125, William Pickens,1947,1964
10,fbeyespattersonlouisethompson8126,"Patterson, Louise Thompson",Federal Bureau of Investigation,1941-1974,FBI documents studying Louise Thompson Patterson.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031074",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyespattersonlouisethompson8126, Louise Thompson Patterson,1941,1974
11,fbeyesneallarryp.8127,"Neal, Larry P.",Federal Bureau of Investigation,1966-1972,FBI documents studying Larry P. Neal.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031075",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesneallarryp.8127, Larry P. Neal,1966,1972
12,fbeyesmurraypauli8128,"Murray, Pauli",Federal Bureau of Investigation,1966-1967,FBI documents studying Pauli Murray.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031076",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesmurraypauli8128, Pauli Murray,1966,1967
13,fbeyesmotleywillard8129,"Motley, Willard",Federal Bureau of Investigation,1951-1967,FBI documents studying Willard Motley.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031077",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesmotleywillard8129, Willard Motley,1951,1967
14,fbeyesmckayclaude8130,"McKay, Claude",Federal Bureau of Investigation,1921-1940,FBI documents studying Claude McKay.,"These documents were compiled by Professor William J. Maxwell for his 2015 book, F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. F.B.Eyes exposes the Bureau's intimate policing of five decades of African American poems, plays, essays, and novels. For more information, consult: ","Maxwell, William. F.B. Eyes: How J. Edgar Hoover’s Ghostreaders Framed African American Literature. Princeton University Press, 2015. ISBNs: 9780691130200, 9780691173412, 0691130205, 0691173419. OCLC Number(s): 903648825, 899031064. World Cat Record: https://worldcat.org/en/title/899031078",FBI,400 ppi,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/fbeyesmckayclaude8130, Claude McKay,1921,1940
